time,f1,f2,f3,f4,COPx,COPy,W,W_sync
1745923161.988902,20.098934173583984,6.5450029373168945,5.70770263671875,34.65745544433594,-17.76032257080078,-4.300097465515137,67.00909423828125,0
1745923162.0054727,20.157564163208008,6.584172248840332,5.733238220214844,34.68233871459961,-17.728967666625977,-4.275790691375732,67.15731811523438,0
1745923162.0093756,20.16156578063965,6.624460220336914,5.740875244140625,34.597068786621094,-17.683883666992188,-4.239771366119385,67.12397003173828,0
1745923162.020987,20.118927001953125,6.710442543029785,5.734467506408691,34.37549591064453,-17.58885955810547,-4.166347026824951,66.9393310546875,0
1745923162.0308685,20.05610466003418,6.732255935668945,5.7202558517456055,34.071807861328125,-17.52634048461914,-4.1014723777771,66.58042907714844,0
1745923162.043096,19.983570098876953,6.743884086608887,5.696117401123047,33.75012969970703,-17.472553253173828,-4.0362653732299805,66.1737060546875,0
1745923162.0527887,19.908815383911133,6.759418487548828,5.669892311096191,33.411827087402344,-17.41381072998047,-3.964766025543213,65.74995422363281,0
1745923162.065974,19.840778350830078,6.773682594299316,5.640612602233887,33.08830261230469,-17.360811233520508,-3.893333911895752,65.34337615966797,0
1745923162.0757725,19.79918098449707,6.773891448974609,5.608837127685547,32.821533203125,-17.332366943359375,-3.8306167125701904,65.0034408569336,0
1745923162.0866199,19.813919067382812,6.759817123413086,5.589372634887695,32.67292785644531,-17.33379364013672,-3.7858545780181885,64.8360366821289,0
1745923162.0979114,19.85251808166504,6.755947113037109,5.583263397216797,32.680789947509766,-17.348407745361328,-3.7730517387390137,64.87251281738281,0
1745923162.1090717,19.866971969604492,6.767575263977051,5.5740814208984375,32.71923828125,-17.355375289916992,-3.770864248275757,64.92787170410156,0
1745923162.1198382,19.871601104736328,6.789710998535156,5.564507484436035,32.665184020996094,-17.33848762512207,-3.7437539100646973,64.89100646972656,0
1745923162.129711,19.90913963317871,6.8203630447387695,5.568492889404297,32.53252410888672,-17.298622131347656,-3.6834776401519775,64.83052062988281,0
1745923162.142213,19.99591827392578,6.852400779724121,5.586225509643555,32.454132080078125,-17.265260696411133,-3.6220929622650146,64.88867950439453,0
1745923162.152514,20.115758895874023,6.907806396484375,5.603156089782715,32.485137939453125,-17.23984146118164,-3.568617582321167,65.11186218261719,0
